age,sex,race,educ,state,weight
18-29,Male,White,No college degree,VT,20
45-65,Male,White,No college degree,VT,26
45-65,Female,White,No college degree,VT,27
18-29,Female,White,College graduate,VT,26
45-65,Male,White,College graduate,VT,11
45-65,Female,White,No college degree,VT,12
45-65,Male,White,College graduate,VT,22
45-65,Female,White,No college degree,VT,21
18-29,Male,White,No college degree,VT,26
18-29,Female,White,College graduate,VT,20
45-65,Female,White,College graduate,VT,9
45-65,Male,White,College graduate,VT,9
45-65,Male,White,No college degree,VT,3
45-65,Male,White,College graduate,VT,6
45-65,Female,White,College graduate,VT,4
45-65,Male,White,No college degree,VT,25
30-44,Female,White,No college degree,VT,16
45-65,Male,White,No college degree,VT,21
30-44,Female,White,College graduate,VT,25
18-29,Female,White,No college degree,VT,21
65+,Male,White,No college degree,VT,11
65+,Male,White,No college degree,VT,11
45-65,Female,White,No college degree,VT,11
18-29,Male,White,No college degree,VT,11
18-29,Female,Hispanic/Latino,No college degree,VT,4
30-44,Male,White,College graduate,VT,8
30-44,Female,White,College graduate,VT,8
65+,Female,White,College graduate,VT,9
65+,Female,White,No college degree,VT,10
65+,Male,Black,College graduate,VT,35
45-65,Female,Asian,No college degree,VT,39
18-29,Male,White,No college degree,VT,27
45-65,Female,White,College graduate,VT,54
45-65,Male,White,No college degree,VT,35
18-29,Female,White,No college degree,VT,47
18-29,Female,White,No college degree,VT,33
18-29,Male,White,No college degree,VT,59
18-29,Male,Asian,College graduate,VT,46
65+,Female,White,No college degree,VT,24
45-65,Male,White,College graduate,VT,15
45-65,Female,White,College graduate,VT,14
65+,Male,White,College graduate,VT,11
65+,Female,White,College graduate,VT,10
18-29,Female,White,No college degree,VT,14
45-65,Male,White,College graduate,VT,7
45-65,Female,White,College graduate,VT,7
18-29,Male,White,No college degree,VT,11
18-29,Female,White,College graduate,VT,33
65+,Male,White,College graduate,VT,8
65+,Female,White,College graduate,VT,11
45-65,Male,White,No college degree,VT,8
45-65,Female,White,No college degree,VT,10
30-44,Male,White,No college degree,VT,11
30-44,Female,White,No college degree,VT,9
65+,Female,White,College graduate,VT,7
65+,Female,White,No college degree,VT,7
65+,Female,White,No college degree,VT,26
65+,Female,White,No college degree,VT,29
45-65,Female,White,No college degree,VT,6
45-65,Male,White,No college degree,VT,8
45-65,Male,White,College graduate,VT,5
45-65,Female,White,College graduate,VT,6
65+,Female,White,No college degree,VT,4
45-65,Male,White,No college degree,VT,59
30-44,Female,White,No college degree,VT,69
45-65,Male,White,No college degree,VT,5
45-65,Female,White,No college degree,VT,4
18-29,Female,White,No college degree,VT,11
65+,Female,White,No college degree,VT,23
65+,Male,White,No college degree,VT,10
65+,Female,White,No college degree,VT,12
65+,Female,White,College graduate,VT,9
65+,Male,White,No college degree,VT,29
65+,Female,White,No college degree,VT,4
45-65,Male,White,No college degree,VT,12
30-44,Female,White,College graduate,VT,14
65+,Male,White,No college degree,VT,22
65+,Female,Hispanic/Latino,No college degree,VT,33
30-44,Male,White,College graduate,VT,8
30-44,Female,White,No college degree,VT,8
30-44,Male,White,No college degree,VT,83
45-65,Female,Other,College graduate,VT,3
18-29,Male,White,No college degree,VT,14
65+,Female,White,No college degree,VT,17
30-44,Female,White,No college degree,VT,46
30-44,Male,White,College graduate,VT,54
65+,Female,White,College graduate,VT,52
45-65,Male,White,No college degree,VT,11
45-65,Female,White,No college degree,VT,12
18-29,Male,White,No college degree,VT,17
65+,Male,White,No college degree,VT,7
65+,Male,White,No college degree,VT,14
18-29,Male,White,No college degree,VT,67
18-29,Female,White,No college degree,VT,58
45-65,Female,White,No college degree,VT,60
18-29,Female,White,No college degree,VT,56
45-65,Female,White,No college degree,VT,6
18-29,Female,White,College graduate,VT,8
45-65,Male,White,No college degree,VT,129
30-44,Female,White,College graduate,VT,122
18-29,Female,White,No college degree,VT,18
45-65,Male,White,No college degree,VT,22
45-65,Female,White,No college degree,VT,25
18-29,Male,White,No college degree,VT,18
30-44,Female,White,No college degree,VT,1
45-65,Male,White,No college degree,VT,14
45-65,Female,White,No college degree,VT,8
18-29,Male,White,College graduate,VT,12
45-65,Male,White,College graduate,VT,41
45-65,Female,White,College graduate,VT,43
45-65,Male,White,College graduate,VT,11
45-65,Female,White,College graduate,VT,15
45-65,Male,White,College graduate,VT,12
45-65,Female,White,No college degree,VT,13
18-29,Female,White,College graduate,VT,13
18-29,Male,White,No college degree,VT,10
45-65,Male,White,No college degree,VT,37
45-65,Female,White,No college degree,VT,27
18-29,Male,White,No college degree,VT,76
45-65,Female,White,College graduate,VT,21
65+,Male,White,College graduate,VT,21
45-65,Female,White,No college degree,VT,6
65+,Female,Hispanic/Latino,No college degree,VT,6
65+,Male,Hispanic/Latino,No college degree,VT,9
45-65,Female,White,College graduate,VT,5
30-44,Male,White,No college degree,VT,6
45-65,Male,White,College graduate,VT,7
45-65,Male,White,No college degree,VT,19
30-44,Female,White,No college degree,VT,24
18-29,Male,White,No college degree,VT,25
18-29,Male,White,No college degree,VT,32
45-65,Female,White,No college degree,VT,13
45-65,Male,White,No college degree,VT,12
45-65,Female,White,No college degree,VT,21
45-65,Male,White,No college degree,VT,20
45-65,Female,White,No college degree,VT,69
45-65,Female,White,No college degree,VT,14
45-65,Male,White,No college degree,VT,10
18-29,Male,White,No college degree,VT,12
18-29,Male,White,No college degree,VT,13
45-65,Male,White,No college degree,VT,6
18-29,Female,White,No college degree,VT,6
18-29,Male,White,No college degree,VT,5
30-44,Female,White,No college degree,VT,5
65+,Female,White,No college degree,VT,14
18-29,Male,White,No college degree,VT,12
30-44,Male,White,No college degree,VT,38
30-44,Male,White,No college degree,VT,48
45-65,Male,White,No college degree,VT,3
30-44,Female,White,College graduate,VT,35
30-44,Male,White,College graduate,VT,46
18-29,Female,White,No college degree,VT,33
45-65,Male,White,No college degree,VT,37
65+,Female,White,No college degree,VT,34
30-44,Male,White,College graduate,VT,28
30-44,Female,White,College graduate,VT,28
30-44,Male,White,No college degree,VT,38
45-65,Male,White,College graduate,VT,31
18-29,Male,White,No college degree,VT,5
45-65,Male,White,College graduate,VT,27
45-65,Female,White,No college degree,VT,26
18-29,Female,White,No college degree,VT,25
18-29,Female,White,No college degree,VT,10
18-29,Male,White,No college degree,VT,11
65+,Male,White,No college degree,VT,31
65+,Female,White,No college degree,VT,34
18-29,Female,White,College graduate,VT,5
18-29,Male,White,No college degree,VT,5
30-44,Male,White,No college degree,VT,33
30-44,Male,White,No college degree,VT,41
30-44,Female,White,No college degree,VT,31
18-29,Female,White,No college degree,VT,11
45-65,Female,White,No college degree,VT,15
45-65,Male,White,College graduate,VT,17
45-65,Female,White,No college degree,VT,17
18-29,Male,White,No college degree,VT,21
45-65,Female,White,College graduate,VT,10
45-65,Male,White,College graduate,VT,9
65+,Male,White,No college degree,VT,13
18-29,Male,White,College graduate,VT,35
18-29,Female,White,No college degree,VT,25
18-29,Male,White,College graduate,VT,32
45-65,Female,White,College graduate,VT,7
65+,Male,White,No college degree,VT,6
30-44,Male,White,No college degree,VT,8
45-65,Female,White,No college degree,VT,13
45-65,Male,White,College graduate,VT,16
45-65,Female,White,No college degree,VT,19
45-65,Male,White,No college degree,VT,26
30-44,Male,White,No college degree,VT,17
30-44,Male,White,No college degree,VT,29
45-65,Female,White,No college degree,VT,34
45-65,Male,White,No college degree,VT,24
18-29,Male,White,College graduate,VT,24
65+,Female,White,College graduate,VT,6
18-29,Male,White,College graduate,VT,12
18-29,Female,White,College graduate,VT,5
30-44,Female,White,College graduate,VT,14
45-65,Male,White,No college degree,VT,10
65+,Female,White,College graduate,VT,11
45-65,Female,White,No college degree,VT,17
45-65,Male,White,No college degree,VT,7
45-65,Female,White,No college degree,VT,8
65+,Female,White,No college degree,VT,34
65+,Female,White,No college degree,VT,4
18-29,Male,White,No college degree,VT,9
65+,Female,White,College graduate,VT,27
18-29,Male,White,College graduate,VT,14
30-44,Female,White,College graduate,VT,8
30-44,Male,White,No college degree,VT,9
30-44,Female,White,No college degree,VT,37
30-44,Male,White,No college degree,VT,44
18-29,Male,White,No college degree,VT,48
18-29,Female,White,No college degree,VT,38
18-29,Male,White,No college degree,VT,6
65+,Female,White,No college degree,VT,7
45-65,Male,White,No college degree,VT,29
18-29,Female,White,College graduate,VT,28
18-29,Male,White,No college degree,VT,18
30-44,Female,White,College graduate,VT,25
45-65,Female,White,College graduate,VT,30
18-29,Male,White,No college degree,VT,8
45-65,Female,White,No college degree,VT,5
18-29,Male,White,College graduate,VT,14
65+,Male,White,College graduate,VT,17
18-29,Female,White,No college degree,VT,2
18-29,Male,Hispanic/Latino,No college degree,VT,2
45-65,Female,White,No college degree,VT,21
45-65,Male,White,No college degree,VT,22
45-65,Female,White,No college degree,VT,18
65+,Female,White,No college degree,VT,24
45-65,Female,White,No college degree,VT,5
45-65,Female,White,College graduate,VT,21
45-65,Male,White,No college degree,VT,11
18-29,Female,White,College graduate,VT,9
18-29,Female,White,No college degree,VT,10
45-65,Male,White,No college degree,VT,11
18-29,Female,White,No college degree,VT,12
45-65,Female,White,No college degree,VT,5
45-65,Male,White,College graduate,VT,36
45-65,Female,White,College graduate,VT,37
18-29,Female,White,No college degree,VT,57
65+,Female,White,College graduate,VT,27
30-44,Female,White,College graduate,VT,28
45-65,Male,Hispanic/Latino,College graduate,VT,51
30-44,Male,White,No college degree,VT,9
45-65,Female,White,No college degree,VT,17
45-65,Male,White,No college degree,VT,21
18-29,Female,White,No college degree,VT,23
18-29,Female,White,No college degree,VT,64
65+,Female,White,No college degree,VT,7
30-44,Male,White,No college degree,VT,19
45-65,Female,White,College graduate,VT,13
45-65,Male,White,College graduate,VT,12
30-44,Male,White,College graduate,VT,17
30-44,Female,White,College graduate,VT,14
65+,Male,White,No college degree,VT,20
45-65,Female,White,No college degree,VT,22
65+,Male,White,College graduate,VT,23
65+,Female,White,College graduate,VT,25
65+,Female,White,College graduate,VT,4
65+,Male,White,No college degree,VT,5
30-44,Male,White,No college degree,VT,11
30-44,Female,White,No college degree,VT,8
18-29,Female,White,No college degree,VT,6
65+,Male,White,No college degree,VT,9
65+,Female,White,No college degree,VT,11
45-65,Male,White,College graduate,VT,22
45-65,Female,White,College graduate,VT,25
45-65,Male,White,No college degree,VT,13
45-65,Female,White,No college degree,VT,16
45-65,Male,Other,No college degree,VT,26
45-65,Female,White,No college degree,VT,9
65+,Female,White,No college degree,VT,31
18-29,Male,White,No college degree,VT,15
65+,Female,White,College graduate,VT,16
45-65,Female,White,College graduate,VT,20
65+,Male,White,College graduate,VT,17
45-65,Male,White,College graduate,VT,16
45-65,Female,Other,No college degree,VT,39
30-44,Female,White,College graduate,VT,28
30-44,Male,White,No college degree,VT,26
18-29,Female,White,College graduate,VT,42
18-29,Male,White,College graduate,VT,46
65+,Female,White,No college degree,VT,7
65+,Female,White,No college degree,VT,30
18-29,Female,Hispanic/Latino,No college degree,VT,25
45-65,Female,White,College graduate,VT,6
30-44,Female,White,College graduate,VT,12
30-44,Male,White,College graduate,VT,9
45-65,Female,White,College graduate,VT,9
30-44,Male,White,No college degree,VT,9
30-44,Female,White,No college degree,VT,8
45-65,Female,White,College graduate,VT,9
45-65,Female,White,No college degree,VT,37
45-65,Male,White,College graduate,VT,36
18-29,Female,White,No college degree,VT,39
18-29,Male,White,No college degree,VT,41
45-65,Female,White,College graduate,VT,30
18-29,Female,White,College graduate,VT,30
65+,Male,White,No college degree,VT,13
45-65,Male,White,College graduate,VT,17
45-65,Female,White,College graduate,VT,19
65+,Male,White,No college degree,VT,14
65+,Female,White,No college degree,VT,10
65+,Male,White,No college degree,VT,39
65+,Female,White,No college degree,VT,44
18-29,Female,White,No college degree,VT,13
18-29,Female,White,No college degree,VT,23
18-29,Male,White,No college degree,VT,24
45-65,Male,White,No college degree,VT,31
18-29,Female,White,No college degree,VT,19
65+,Female,White,College graduate,VT,6
65+,Male,White,College graduate,VT,5
30-44,Male,White,No college degree,VT,43
18-29,Female,White,No college degree,VT,53
65+,Male,White,College graduate,VT,27
18-29,Male,White,No college degree,VT,46
18-29,Female,White,No college degree,VT,11
65+,Male,White,No college degree,VT,10
45-65,Male,White,College graduate,VT,8
65+,Male,White,No college degree,VT,14
65+,Female,White,No college degree,VT,16
45-65,Male,White,College graduate,VT,35
45-65,Female,White,College graduate,VT,36
45-65,Male,White,No college degree,VT,9
65+,Female,White,College graduate,VT,10
65+,Male,White,No college degree,VT,11
65+,Female,White,No college degree,VT,15
45-65,Male,White,No college degree,VT,13
65+,Female,White,College graduate,VT,17
30-44,Female,White,No college degree,VT,14
45-65,Male,White,No college degree,VT,49
45-65,Female,White,College graduate,VT,37
45-65,Male,White,College graduate,VT,6
30-44,Female,White,College graduate,VT,7
45-65,Male,White,No college degree,VT,23
45-65,Female,White,No college degree,VT,23
18-29,Female,White,No college degree,VT,44
45-65,Female,White,College graduate,VT,9
18-29,Male,White,No college degree,VT,10
45-65,Female,White,College graduate,VT,9
45-65,Female,White,No college degree,VT,42
45-65,Male,White,No college degree,VT,40
18-29,Male,White,No college degree,VT,40
65+,Male,White,No college degree,VT,11
45-65,Female,White,No college degree,VT,9
30-44,Male,White,No college degree,VT,15
30-44,Female,White,No college degree,VT,12
65+,Male,White,College graduate,VT,10
45-65,Female,White,College graduate,VT,9
18-29,Female,White,No college degree,VT,6
18-29,Male,White,No college degree,VT,14
65+,Male,White,No college degree,VT,13
65+,Male,White,No college degree,VT,10
65+,Female,White,No college degree,VT,11
30-44,Male,White,No college degree,VT,23
30-44,Female,White,No college degree,VT,22
